roi_name,accuracy,precision,recall
AngularGyrus,0.47368421052631576,0.2,0.14285714285714285
CentralOpercularCortex,0.5263157894736842,0.4166666666666667,0.7142857142857143
CingulateGyrus-anteriordivision,0.631578947368421,0.5,0.5714285714285714
CingulateGyrus-posteriordivision,0.5789473684210527,0.42857142857142855,0.42857142857142855
CunealCortex,0.47368421052631576,0.3333333333333333,0.42857142857142855
FrontalMedialCortex,0.5263157894736842,0.3333333333333333,0.2857142857142857
FrontalOperculumCortex,0.631578947368421,0.5,0.5714285714285714
FrontalOrbitalCortex,0.5263157894736842,0.25,0.14285714285714285
FrontalPole,0.5789473684210527,0.4,0.2857142857142857
HeschlsGyrus-includesH1andH2,0.6842105263157895,0.5454545454545454,0.8571428571428571
InferiorFrontalGyrus-parsopercularis,0.631578947368421,0.5,0.14285714285714285
InferiorFrontalGyrus-parstriangularis,0.5789473684210527,0.3333333333333333,0.14285714285714285
InferiorTemporalGyrus-anteriordivision,0.5263157894736842,0.0,0.0
InferiorTemporalGyrus-posteriordivision,0.42105263157894735,0.16666666666666666,0.14285714285714285
InferiorTemporalGyrus-temporooccipitalpart,0.3157894736842105,0.125,0.14285714285714285
InsularCortex,0.631578947368421,0.5,0.7142857142857143
IntracalcarineCortex,0.47368421052631576,0.2857142857142857,0.2857142857142857
JuxtapositionalLobuleCortex-formerlySupplementaryMotorCortex,0.3684210526315789,0.14285714285714285,0.14285714285714285
LateralOccipitalCortex-inferiordivision,0.47368421052631576,0.2,0.14285714285714285
LateralOccipitalCortex-superiordivision,0.47368421052631576,0.3333333333333333,0.42857142857142855
LingualGyrus,0.47368421052631576,0.2,0.14285714285714285
MiddleFrontalGyrus,0.5789473684210527,0.4,0.2857142857142857
MiddleTemporalGyrus-anteriordivision,0.2631578947368421,0.18181818181818182,0.2857142857142857
MiddleTemporalGyrus-posteriordivision,0.5263157894736842,0.25,0.14285714285714285
MiddleTemporalGyrus-temporooccipitalpart,0.3157894736842105,0.125,0.14285714285714285
OccipitalFusiformGyrus,0.47368421052631576,0.2,0.14285714285714285
OccipitalPole,0.3684210526315789,0.2727272727272727,0.42857142857142855
ParacingulateGyrus,0.47368421052631576,0.36363636363636365,0.5714285714285714
ParahippocampalGyrus-anteriordivision,0.631578947368421,0.0,0.0
ParahippocampalGyrus-posteriordivision,0.631578947368421,0.0,0.0
ParietalOperculumCortex,0.3684210526315789,0.14285714285714285,0.14285714285714285
PlanumPolare,0.5789473684210527,0.46153846153846156,0.8571428571428571
PlanumTemporale,0.5789473684210527,0.42857142857142855,0.42857142857142855
PostcentralGyrus,0.5263157894736842,0.25,0.14285714285714285
PrecentralGyrus,0.42105263157894735,0.16666666666666666,0.14285714285714285
PrecuneousCortex,0.3157894736842105,0.0,0.0
SubcallosalCortex,0.6842105263157895,0.5555555555555556,0.7142857142857143
SuperiorFrontalGyrus,0.47368421052631576,0.2857142857142857,0.2857142857142857
SuperiorParietalLobule,0.3684210526315789,0.0,0.0
SuperiorTemporalGyrus-anteriordivision,0.47368421052631576,0.4,0.8571428571428571
SuperiorTemporalGyrus-posteriordivision,0.5263157894736842,0.3333333333333333,0.2857142857142857
SupracalcarineCortex,0.3684210526315789,0.0,0.0
SupramarginalGyrus-anteriordivision,0.47368421052631576,0.3333333333333333,0.42857142857142855
SupramarginalGyrus-posteriordivision,0.42105263157894735,0.0,0.0
TemporalFusiformCortex-anteriordivision,0.631578947368421,0.0,0.0
TemporalFusiformCortex-posteriordivision,0.631578947368421,0.0,0.0
TemporalOccipitalFusiformCortex,0.6842105263157895,1.0,0.14285714285714285
TemporalPole,0.631578947368421,0.0,0.0
