roi_name,accuracy,precision,recall
CentralOpercularCortex,0.857142857,0.333333333,1
InsularCortex,0.785714286,0.8,0.666666667
CingulateGyrus-posteriordivision,0.714285714,0.5,0.75
SupramarginalGyrus-anteriordivision,0.714285714,0.833333333,0.625
TemporalFusiformCortex-posteriordivision,0.714285714,0.777777778,0.777777778
TemporalOccipitalFusiformCortex,0.714285714,0.555555556,1
TemporalPole,0.714285714,0.6,0.6
OccipitalPole,0.642857143,0.555555556,0.833333333
SubcallosalCortex,0.642857143,0.583333333,1
FrontalOrbitalCortex,0.571428571,0.75,0.6
InferiorFrontalGyrus-parsopercularis,0.571428571,0.555555556,0.714285714
InferiorFrontalGyrus-parstriangularis,0.571428571,0.555555556,0.714285714
MiddleTemporalGyrus-anteriordivision,0.571428571,0.5,0.333333333
MiddleTemporalGyrus-posteriordivision,0.571428571,0.625,0.625
ParahippocampalGyrus-posteriordivision,0.571428571,0.6,0.75
ParietalOperculumCortex,0.571428571,0.5,0.666666667
PrecentralGyrus,0.571428571,0.666666667,0.666666667
SuperiorFrontalGyrus,0.571428571,0.625,0.625
TemporalFusiformCortex-anteriordivision,0.571428571,0.666666667,0.666666667
AngularGyrus,0.5,0.25,0.666666667
CunealCortex,0.5,0.333333333,0.166666667
InferiorTemporalGyrus-posteriordivision,0.5,0.25,0.666666667
JuxtapositionalLobuleCortex-formerlySupplementaryMotorCortex,0.5,0.5,0.428571429
LateralOccipitalCortex-inferiordivision,0.5,0.571428571,0.5
LateralOccipitalCortex-superiordivision,0.5,0.4,0.333333333
LingualGyrus,0.5,0.5,0.571428571
MiddleFrontalGyrus,0.5,0.4,0.8
ParacingulateGyrus,0.5,0.285714286,0.5
PlanumPolare,0.5,0.5,0.714285714
PlanumTemporale,0.5,0.375,0.6
SuperiorParietalLobule,0.5,0.714285714,0.5
CingulateGyrus-anteriordivision,0.428571429,0.363636364,0.8
FrontalMedialCortex,0.428571429,0.5,0.5
FrontalOperculumCortex,0.428571429,0.166666667,0.25
FrontalPole,0.428571429,0.5,0.375
InferiorTemporalGyrus-temporooccipitalpart,0.428571429,0.428571429,0.428571429
IntracalcarineCortex,0.428571429,0.5,0.25
OccipitalFusiformGyrus,0.428571429,0.4,0.666666667
ParahippocampalGyrus-anteriordivision,0.428571429,0,0
HeschlsGyrus-includesH1andH2,0.357142857,0.333333333,0.285714286
MiddleTemporalGyrus-temporooccipitalpart,0.357142857,0.384615385,0.833333333
PostcentralGyrus,0.357142857,0.4,0.25
PrecuneousCortex,0.357142857,0.428571429,0.375
SuperiorTemporalGyrus-anteriordivision,0.357142857,0.142857143,0.25
InferiorTemporalGyrus-anteriordivision,0.285714286,0.428571429,0.333333333
SuperiorTemporalGyrus-posteriordivision,0.285714286,0.375,0.375
SupracalcarineCortex,0.285714286,0,0
SupramarginalGyrus-posteriordivision,0.142857143,0,0
